,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
16885,MAOA,0.29415086632961923,BG201242,0.7402967040308733,C16orf46,0.22173022223858613,HOXC12,0.32143784954445703,ALS2CR11,0.553849377295948,NSUN4,0.08734767933008421
16886,RASIP1,0.29413766750448894,SLC22A10,0.740242684543305,ATP1B3,0.22172494929405057,HRNR,0.3214348358103691,OR2T12,0.553847399642821,AA844688,0.08734303940221835
16887,BF511906,0.29413472599548324,TLT5,0.7402351673469808,RBM4,0.22172054510872513,AI767660,0.321424655953102,IFNE,0.5538445205904947,SRP54,0.08734097076112608
16888,BP394985,0.2941234253757616,ZNF461,0.7401951170503516,DB335191,0.22170431643951943,ZNF777,0.3213846381215955,DA374142,0.5538282193451973,AES,0.0873399820446497
16889,TCL1B,0.29410926939781357,CTCFL,0.7401110956847693,BX098808,0.22170351666678426,WIPF3,0.32136866922811086,PIAS1,0.5538164044523983,AA843471,0.08733676127043585
16890,NRAP,0.2940903130319065,DSC1,0.7401110810344971,AW274374,0.22169450232908727,FNDC10,0.3213678733280113,AW294695,0.5537881604094993,KCNJ2,0.08733646062049058
16891,DB083517,0.2940741085132649,AV723037,0.7400094684674119,LONRF3,0.2216911640955656,OR5H2,0.3213563072787466,AW083186,0.5537849155279205,ZNF619,0.0873356314712451
16892,AKAP14,0.29406969371756725,BX094031,0.7399873170036606,PLXDC1,0.22169047894940952,LINC02593,0.3213370309996959,PLA2G4C,0.5537170155708938,ZNF350,0.08733461894689017
16893,LINC00654,0.2940638028448893,BG220210,0.739954695163691,BM984008,0.2216829470523011,BX100557,0.3213195251235338,ADORA2B,0.553700585533837,CCDC65,0.08733131678188173
16894,MRPS5,0.2940588349122584,SLC25A32,0.7399323596368731,TTTY18,0.22167523029210703,CA773219,0.3213077137452454,UBE3C,0.553696598347648,CDON,0.08733027946368126
16895,MXRA7,0.29405850568129327,CB306770,0.7399320728417217,ALKBH7,0.22166926638676523,GSTM1,0.3213033565477138,SPAG11B,0.553695365775436,AK057291,0.08732946229000571
16896,BX111278,0.2940246222437926,KRTAP4-2,0.7398201899005964,STX6,0.22164927522944086,TEX22,0.3212986736890782,NGEF,0.5536759726574871,CLEC7A,0.08732935475035551
16897,OR8H2,0.29398284649828843,BF475460,0.7396837607753879,C18orf16,0.2216459547404592,AI862941,0.32129719297668846,BX099599,0.5536559839959482,RAB28,0.08732835901357663
16898,ODF3L2,0.2939758884750093,DA923414,0.739655762425622,AW451118,0.22164398165224722,GALE,0.32129702504312285,FAM201B,0.5536530471913843,BU734331,0.08732835594242477
16899,OR5I1,0.2939663080709577,AI280392,0.7396039989611876,BX090611,0.22162771147139834,NBPF11,0.3212878766461793,ACTL7B,0.5536502467425864,AK000451,0.08732598518332779
16900,STAB2,0.2939592104557587,PTH,0.7394616392237706,OR6C2,0.22162767730792762,RNF121,0.32128775641892665,GTF3C5,0.5536482824032231,LOC645485,0.08732506000358353
16901,GREB1,0.2939244319368158,AI373835,0.7394146342587572,SLC5A5,0.22162459319975575,MYL12B,0.3212542688892026,LOC729164,0.5536463218801223,ZNF556,0.08732454806713863
16902,AI949657,0.29391003961299883,BU736534,0.7393962168114575,OR52B4,0.2216194432286691,BG681924,0.32125398967536983,AI916271,0.5535506753751926,AA719374,0.08732310733913805
16903,ACSL6,0.2938820265008672,MRGPRD,0.7393935604069533,SCART1,0.22161351383627273,U55055,0.32124774864263084,DA733024,0.5535378886527029,LIMS3,0.08732275825294884
16904,AI221341,0.293876151682566,NKPD1,0.7393910674606242,CEP57,0.22161347706215329,AW293016,0.3212068157761541,DMPK,0.5534982051297767,AW450925,0.08732099633393874
16905,C6orf170,0.2938662079348389,ZSCAN18,0.7393846473414598,CREB3L1,0.2216068915497499,TRIM64,0.32120521561387594,BG221633,0.553459034219201,ELF4,0.08731638851173087
16906,TMEM158,0.29386360214168117,CST4,0.7393590589068767,GHSR,0.2216064990163729,BX095520,0.3212012290474725,ACTG1P20,0.5534398518039352,PCNP,0.0873150316371119
16907,PRRG3,0.29380566280389414,GALR2,0.7393307276467386,AA454194,0.2215969174158544,AW172888,0.3211768825846598,CCL27,0.5534282688478602,FBXL14,0.08731496481300074
16908,LOC100133047,0.29376294704603956,AW195733,0.7393174458201461,FAM71F2,0.22158613314052955,AW087252,0.32117523292833355,CB529354,0.5533584262893148,AK096170,0.08731309091200347
16909,BF515706,0.2937356785916878,AMN,0.7393096308467221,GRM5P1,0.22158527185494642,AA909521,0.32117126265167967,TTTY20,0.5533541038707218,INSIG2,0.0873129698423511
16910,RMND5A,0.29373282044836635,DB339886,0.7392579476837681,BX113011,0.22157320544629686,AA437103,0.32117125051191425,AK127919,0.5532806998678389,ZNF30,0.08731053855119476
16911,ARMC2,0.29372068800734247,TH,0.7392553494741478,SLC5A12,0.221570292072574,KRTAP9-2,0.3211688828214717,BF940367,0.5532321384052576,BX117967,0.08730826641556272
16912,CBR4,0.2937050541384625,PAX6-AS1,0.7391698165938962,IFITM4P,0.2215451581907343,LINC00486,0.32115477125575975,ZNF107,0.5532187750230662,AI091296,0.08730504095397361
16913,AK311398,0.2936979086005575,CLPS,0.7391603801785575,BU736253,0.221544406460046,BM929281,0.3211125239590908,GTPBP5,0.5531835611974847,ENPEP,0.08730336731375478
16914,AI804439,0.2936798425822756,AK129941,0.7391563561546506,AL117577,0.22154211574885788,BMS1P4_1,0.3211079312008202,MPPED2,0.553180543594793,TMCO4,0.08729016901766323
16915,PBOV1,0.2936794832329731,GJD2,0.7391409140458168,AFARP1,0.2215373373558737,LINC01579,0.3210830616635182,TMEM179,0.5531718796503042,AI936635,0.08728274490344827
16916,AW514448,0.2936538077953237,RHOXF2B,0.7391320859682348,SLPI,0.22153714659577906,FAM110C,0.32106314293353744,ATF2,0.553082618598362,AA613949,0.08728061624398098
16917,BX116936,0.29365363196207184,MCHR1,0.7391270681869023,OR52I2,0.22153651920429818,BM678342,0.32104822687342577,ASRGL1,0.5530473117935369,DB339624,0.08727999313382859
16918,C2orf29,0.2936193904198643,BE065392,0.7390697330466599,CF887334,0.22153213663530316,KRTAP5-1,0.3210421508581137,CCDC82,0.5530203526034314,CN282012,0.08727996800415458
16919,AI478591,0.29361655700716394,AL044863,0.739061696860667,PHIP,0.22153154567405908,ARHGEF38,0.32103809146546497,ZNF566,0.5528793606985525,FAM38B,0.08727914077874055
16920,BQ014928,0.29361142980505645,SERPINC1,0.7390525235545671,AI028711,0.22152312739362326,ZNF750,0.3210378602403731,EPC2,0.5528734128375968,CLDND2,0.08727777853925973
16921,KBTBD10,0.29359385036792557,AA927756,0.7390047531501132,AI953363,0.2214962100531764,CCDC90B,0.32102968280656413,AK125981,0.5528634304999965,PABPC5,0.08727613041570056
16922,BX113851,0.29358634766899894,DB331834,0.7389117941063639,AA909601,0.22149152140699727,FGFR2,0.3210064897560732,BF929486,0.5528569388483884,RUNX1,0.08727571901494192
16923,SNORD22,0.2935597539270336,MLANA,0.7389112192039056,BF510118,0.22148521831551524,AW084610,0.3209941079343152,AW294679,0.5528445713146983,CBLN2,0.08727452797764082
16924,WEE2-AS1,0.2935514121207591,DB311886,0.7388587689903541,PCP4L1,0.22148295746982222,AK056127,0.32097203506443034,ZMYM5,0.552798800813047,BQ445958,0.0872741003341868
16925,ST6GAL2,0.29352953168154183,BCHE,0.7387378102058969,MIER3,0.22147878355667447,BF929486,0.3209383826107267,NEUROG2,0.5527522989736007,BF476094,0.0872729135215696
16926,AA971268,0.29351799275004586,BG055731,0.7386730462804798,SHMT1,0.2214745066624281,PARP8,0.320921092430009,BX114956,0.5527231552684231,HOXA10_1,0.08727123470997017
16927,AK123550,0.2935138427603103,FUT10,0.7386132246129131,CLEC4D,0.22147312443314715,RPS17,0.32092074005442994,AK057319,0.5527070989003573,CTRB2,0.08726769011864136
16928,NACA2,0.2934910862805609,MAGEA10,0.7385924549768524,DB036862,0.2214680705488299,ZNF771,0.320919413736245,BX103639,0.5526386175202898,AV750156,0.08726715372549217
16929,BX114729,0.2934897253213825,FAM22A,0.7385867373351459,SULTX3,0.22146639300536833,TBC1D15,0.3208707119067145,ZNF283,0.5526346313060064,RXFP1,0.08726247963711461
16930,U61088,0.29348742052604554,AI796864,0.7385125465589194,EVC2,0.22146361315281776,NUMA1,0.32086672686872847,BI826287,0.5526310597656177,PRUNE2,0.08726072269442436
16931,BX104823,0.29341856865817645,BX119243,0.7384510546043642,CDHR2,0.2214597374617769,AW340754,0.3208666964910368,PAX9,0.5525879461927176,CCNT1,0.08725878237891531
16932,XRCC3,0.29339043934208725,C12orf12,0.7383097698256275,RPL37,0.22145007559983487,AI733146,0.3208612669281349,AK130224,0.5525701444366473,ME1,0.08725534230005656
16933,UNC13A,0.2933632400328566,OPTC,0.738133606027534,LINC01704,0.2214479474339425,WNK2,0.32085073477295506,BX109570,0.5525601050834942,HIST1H4I,0.08725466135128396
16934,KLF9,0.2933492954477701,C1orf95,0.7381089563971949,AW137468,0.2214424808519221,HDAC8,0.32082375713496736,POLD2,0.5525555972826293,LOC285194,0.08725100848394392
16935,AK094866,0.2933214615027324,AK056311,0.7380960207624764,OXER1,0.22144195400351616,AW449056,0.32081129092481697,AI193410,0.5525436064132643,DB322288,0.087250046115795
16936,CR742828,0.293315809388704,ZSCAN1,0.7380951748637893,DB339667,0.22143436859505192,AV688700,0.32079859076480677,BX111628,0.5525200452609772,CCHCR1,0.08724989636611737
16937,KIAA1712,0.29330861111737927,CR738291,0.7380103297268553,BC035647,0.2214231153639473,BU742138,0.3207756532396829,H96229,0.5524578651332807,ABCC10,0.08724810295406939
16938,DUSP1,0.29325723625936434,BF511322,0.7379741298541648,AA586561,0.22142278553683312,FOS,0.32070296580493457,AI271617,0.5524132448097769,DNAJA4,0.08724722919026921
16939,N76669,0.2932541985601059,BC032914,0.7379279802304501,BC031963,0.22141840918843508,BM142657,0.32069537511422946,BX119185,0.5523944918930408,OR11H1,0.08724713193586899
16940,C10orf110,0.29325336178445555,DA374142,0.7378886744362497,RASIP1,0.22140409211231585,BX105653,0.3206942161604458,GPX4,0.5523929550438181,LENEP,0.08724536248627648
16941,IMP5,0.29323197630835707,LOC286083,0.7378040031230294,SCMH1,0.22140189391771933,CD050206,0.3206819876303904,TCRAVN1,0.5523641369192949,AI733696,0.0872420074219636
