,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
17180,SPCS1,0.5973346789076683,SPAG5,1.611235798635419,BE550132,0.34405295248797096,U2SURP,0.4171619684317443,BQ576355,0.8880825737861707,BG698340,0.2999520819933492
17181,BST1,0.5973206765176602,HIF3A,1.611130590752857,C18orf16,0.34404808296449635,TAPT1,0.41715994910813303,HIST2H2AB,0.8880529670497735,PRLH,0.2999518698710012
17182,C5orf25,0.5973187980483211,ZNF828,1.6110925446041262,LRMP,0.3440426583681495,FGFR4,0.41714917230310006,CDC37,0.8880471038429408,GLB1L,0.2999512696324824
17183,TSSK4,0.5973069736926984,C7orf49,1.6110321011183237,DB327282,0.3440415075873609,CRELD1,0.4171447517524705,LYAR,0.8880398334114301,ENOX1,0.29994902186769246
17184,FMNL2,0.5972848916365554,TTC30A,1.611001240437187,CCDC18,0.34403894089298354,ZNF124,0.41713937801923207,MOGAT2,0.8880116928029348,TIMM22,0.2999447467428833
17185,CPNE8,0.5972818816646704,TPCN2,1.610946947565456,MTR,0.34403780096085856,NCRNA00224,0.4171242286737549,RBP2,0.8880102130190743,BC024972,0.29994459067370827
17186,ATP6V0B,0.5972816574703865,LINC01341,1.6108983464252353,TMEM133,0.3440376575381816,HYLS1,0.41711601557483935,BU629170,0.8880011657252002,ABAT,0.2999410733922643
17187,FAM104A,0.5972804688712026,LSR,1.610888968117861,CN283269,0.34403513286715104,YEATS2,0.41708697701187203,HEATR1,0.8879913962363875,CR622974,0.29994088630079996
17188,FLT1,0.5972789586314556,C4orf32,1.6108663254896123,BU754180,0.344030266742016,WLS,0.4170843261793265,CKS1B,0.887976220757468,DHCR24,0.2999403068945806
17189,SMARCE1,0.5972770066031042,DCUN1D3,1.6108644119650455,VPS13C,0.34402911742111186,PTPRJ,0.4170733259872401,KCNK1,0.8879638336014414,C1QTNF3,0.2999398772564176
17190,C2orf64,0.5972448060240133,SNRPB2,1.6108238026770696,LRTM1,0.34402667971122836,NIP7,0.4170697914090779,CXXC4,0.8879543579898814,CASP3,0.2999392506906409
17191,APBB3,0.5972416798058537,ZDHHC22,1.6108213470146004,BE041827,0.34402504893145425,EPB41L4B,0.4170645914139529,GIT1,0.8879521673333725,FAM19A4,0.2999301482828566
17192,CAP1,0.5972331156050673,MZT1,1.6107462193511264,AI937359,0.34402325263811284,BQ447018,0.4170596785000452,C9orf37,0.8879318816283001,PVRL2,0.29993003151254144
17193,C9orf103,0.5972307477525407,STX10,1.610717282259913,BAG6,0.3440230635611768,REP15,0.4170374432637264,ARMC9,0.8879292203567071,TSPO2,0.29992805408551143
17194,BU740879,0.5972200148389675,MTG1,1.6107151726218008,AI080164,0.3440203094900792,ERAP1,0.4170330729727834,TNFRSF12A,0.8879286679959061,ADAP1,0.299923476560705
17195,ZNF277,0.5972126790804284,TRIM49,1.6106992537245945,DEFB103A,0.34401599433576535,TPCN2,0.4170250982053624,SLC39A10,0.8879121933022754,PIG8,0.2999199419666239
17196,BM684066,0.5971844999542881,ABHD6,1.6105591796104755,PLA2G4A,0.34401273948083705,CKAP2L,0.4170026173049627,LMO4,0.8878984220035033,HSPA4,0.2999161863422192
17197,RFX7,0.5971785365062793,WRN,1.6105537031987993,DAZ2,0.3439976356428312,BX109342,0.4169868587079629,MMP19,0.8878863726855851,SRPK1,0.29990945513839395
17198,AW270424,0.5971778909716985,FAM86A,1.6105135513304418,TRAF3IP2-AS1,0.34399712504523494,SRSF6,0.41698246380470677,FBXW2,0.8878770558060006,CR748887,0.29990488891881245
17199,NUP43,0.5971616831425804,NOSIP,1.610508993902302,SPAG5,0.3439951731834296,MCOLN1,0.41697031763912995,RPL24,0.8878705836805145,CYP2C18,0.2999025035958744
17200,CK299183,0.5971428664621459,VASH2,1.6104905362176183,OR5M3,0.34399511482337547,UGT2B15_1,0.4169578820634657,CK300859,0.8878464930956964,DR980387,0.29989768900355596
17201,UBQLN2,0.5970925821203088,DPM3,1.610434105078445,BG204795,0.34399409370739176,UBL5,0.4169520476474389,TPPP2,0.8878462524323064,ZXDC,0.2998967294758414
17202,RPP14,0.597071196442164,VASN,1.610415257328654,BU596411,0.3439886141160738,MAP3K1,0.41693860794827065,TP53TG3D_1,0.8878213790677193,SLC25A29,0.29988675142918303
17203,PANK4,0.5970614242976559,DOK4,1.6102254238207838,DLGAP2,0.34398654130716066,PARP3,0.41693840738719157,STX8,0.887813036497789,AK097607,0.2998865112710282
17204,AI912585,0.5970430044716065,OCLN,1.6101282591911128,ADRA2B,0.34398263601893475,C5orf60,0.4169296500805688,MIF,0.8878106935130066,TAGLN2,0.2998830882790372
17205,MYL12B,0.5970351944754548,AA775179,1.6100562002762788,C7orf70,0.34398108006225947,ACAD9,0.4169281819172723,FBXO7,0.8878034003096468,AW449619,0.2998801945990568
17206,AF009300,0.5970318513826642,MTHFD1L,1.6100230095676265,AKAP8L,0.3439792885214515,C2CD4A,0.4169115210134492,ATF7IP2,0.8878011719323131,EGFLAM,0.2998764890325939
17207,CCT2,0.5970101938667075,DA098517,1.6100198616871029,C3orf65,0.34397038746395375,OR52D1,0.4168905105666062,LBP,0.8877727031458672,SEPT10,0.29987625278981234
17208,TC2N,0.597003235551325,RPF2,1.610018546856207,AB076976,0.34396149277687726,HMGCS2,0.41685460303244787,DB021126,0.8877724232366673,CDK16,0.299875473956321
17209,EPC1,0.5970000036684148,TAF1B,1.6099400598963085,BM055010,0.34396134166834114,FOXN2,0.416852874090946,C1orf144,0.887755124789836,BQ773724,0.29987105384199125
